km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
142 000 km,Audi,A4,2014,Benzina,211 CP,1 984 cm3,,,Automata,Combi,5,Alb,5,,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZ4YmdycnExeGVzMy1BVVRPVklUUk8ifQ.LO-o4V4wjLQvD8SyKk7NWtsHRriqboD_yNIHDfCDJFw/image;s=644x461,15 499,10ec3602-e179-4a12-ba57-dbb0549eba49
235 000 km,Volkswagen,Passat,2011,Diesel,170 CP,1 968 cm3,Fata,Euro 5,Automata,Combi,5,Gri,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFhNDNsdTg2bXA1bTEtQVVUT1ZJVFJPIn0.TDIqSv72dQFCmqUOHYyyEhLhIlJCNmiDN_s76jUu53E/image;s=644x461,9 000,67f87ab6-58b2-4e79-9dfe-b7020a40e6ec
163 000 km,Volkswagen,Golf,2019,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,5,Alb,,,,Germania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9jemx6OWZvOHlrejItQVVUT1ZJVFJPIn0.aagNtHiF4WIPi7q75y29-ujGqkhJvEBDO6P6V8KXuPw/image;s=644x461,13 000,e32bbaf1-7b01-4a76-b1e9-e22f6db70dd0
243 000 km,BMW,Seria 5,2011,Diesel,163 CP,1 995 cm3,,Euro 5,Manuala,Sedan,5,Gri,,Metalizata,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im95MnNzeXMyaHdxNDEtQVVUT1ZJVFJPIn0.6WJ7674iB2svjhmRCtgJWbqN0IG-NiIDz8Z9PAL0s54/image;s=644x461,11 499,616e680a-1035-494d-afe1-273bbce996fd
208 000 km,BMW,Seria 3,2011,Diesel,143 CP,1 995 cm3,Spate,Euro 5,Manuala,Combi,5,Argint,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx0MmN3N2Rrbjg1bS1BVVRPVklUUk8ifQ.2ENOYFaSs4vthOBrU7jS5-SJ2hia-1MIqjMRUF8VSXY/image;s=644x461,6 650,f2bfbb7e-663e-4ac8-b4a8-7059e5840673
245 000 km,Citroën,C-Crosser,2008,Diesel,156 CP,2 179 cm3,,,Manuala,SUV,5,Negru,,,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR2ZHlqM2piZHRpczItQVVUT1ZJVFJPIn0.r3Xf7baMexxvRUnA6HC0DTQV4-M8zydwWwHXN68o8MY/image;s=644x461,5 499,b2bdf96d-70a6-405d-9e0e-a6141be0e391
182 000 km,Nissan,Juke,2015,Benzina,115 CP,1 197 cm3,,Euro 6,Manuala,SUV,5,Albastru,5,,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InN6ZXc5anZ6dGZ5eC1BVVRPVklUUk8ifQ.VeyJJAxE5uPqlbcZ1GFm2kYDgbgr4gZqj6lqQ_LZa0g/image;s=644x461,9 499,cd28fbfa-45ec-4643-9d18-d7eb3bee7a09
154 000 km,Kia,Sportage,2013,Benzina,135 CP,1 591 cm3,,Euro 5,Manuala,SUV,5,Gri,,Metalizata,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ2aTFqeHh4amtpdC1BVVRPVklUUk8ifQ.miEbwTKvkaOHtiHkXaRDVxmDSgi1DD6Wb-xmIqMn8NI/image;s=644x461,10 999,e520e0fe-a01a-438c-b7a1-85d13c5f31a1
140 000 km,Seat,Ibiza,2015,Benzina,70 CP,1 198 cm3,Fata,,Manuala,Masina de oras,5,Rosu,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQydGVnam1kY2N1NTMtQVVUT1ZJVFJPIn0.tyTZDI5PNn7IX7q0k8aEKleZMuCq3cM9E3GB3uy0xF4/image;s=644x461,5 750,04ec6a1e-fdbd-4a45-b781-c4088c02f687
201 000 km,Nissan,Qashqai+2,2010,Diesel,110 CP,1 461 cm3,Fata,Euro 5,Manuala,SUV,5,Argint,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImIxNjRsY2p4MG4xbzEtQVVUT1ZJVFJPIn0.urfO36k4BQjoshL64DrnoY792Iz-csPnUTc6LKKWhbg/image;s=644x461,7 250,795a7ab4-ab14-43af-b3c4-fc2cf6b70294
180 000 km,Hyundai,I30,2008,Diesel,90 CP,1 582 cm3,,Euro 4,Manuala,Combi,5,Gri,5,,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR4Y3p2aDRxYmg0ejItQVVUT1ZJVFJPIn0.eXua3zkg3aOnltlw4jpwrFOWYvedVHnKUmTsNNEIeqI/image;s=644x461,3 799,235759fb-3899-42f3-be18-ad4dad154e7e
242 000 km,Audi,A4,2006,Diesel,140 CP,1 984 cm3,,Euro 4,Automata,Combi,5,Gri,5,,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InYyMXhoOGQ0eTdpcDItQVVUT1ZJVFJPIn0.3hgbk-d-GEPj4wk0VwN1BSZ5jyQG1IqTmax78DcAAfA/image;s=644x461,3 999,8f5efb6f-401e-440a-85c6-0070fae2b9e0
208 000 km,Mazda,CX-7,2010,Diesel,173 CP,2 184 cm3,,Euro 5,Manuala,SUV,5,Albastru,5,,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFuZjkxdTN3d3lrdTEtQVVUT1ZJVFJPIn0.uGt3c2CKxYabst8Nuii_lCd2FzH4hDlP7zz5I2uOLx4/image;s=644x461,6 999,647100ef-8d9c-430c-9bcf-d8f5397744f9
181 764 km,Dacia,Duster,2018,Diesel,109 CP,1 461 cm3,4x4 (automat),Euro 6,Manuala,SUV,5,Albastru,5,Metalizata,Da,Romania,Da,Second hand,123 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImoweWNhNDYzcWxqMDItQVVUT1ZJVFJPIn0.2ofRLo2GnaIVMOYKw3ydPkf1Sc6urdWvRvlm26NAjUk/image;s=320x240,13 990,d153cb0f-4b24-4c52-9c92-43f530e547f7
24 200 km,Jeep,Wrangler,2019,Benzina,270 CP,1 995 cm3,4x4 (automat),Euro 6c,Automata,SUV,5,Gri,5,Metalizata,,Romania,Da,Second hand,125 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM0bjQxOWZ0dWV1MjEtQVVUT1ZJVFJPIn0.xLEsqkyVfm776JkcWKNFBS7oKXlzLu-16jBKPDVqOkY/image;s=320x240,62 900,8afac507-a618-48c9-9085-b43024aaf20a
127 425 km,Opel,Astra,2011,Benzina,116 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,5,Alb,5,Mat,Da,,,Second hand,147 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndybjRmNjZrMmtnczItQVVUT1ZJVFJPIn0.vRACirPV2mtpakvtKXFBcLKMSkVP7qzWsBREQULtLbk/image;s=320x240,4 700,5dcbdab1-0092-4fd0-8a5c-f353f19bff0d
224 300 km,BMW,X5,2015,Diesel,313 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,,,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNrYnpwb2k0ejV3cjMtQVVUT1ZJVFJPIn0.cv7TTQAk6-0n-sBp77fS3Qg47lBJ1S0yacJ8xJDWrr0/image;s=644x461,23 950,52b0a839-0dd0-419f-8b15-48e8b020e147
209 000 km,Volkswagen,Golf,2017,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,5,Alb,5,,Da,Germania,,Second hand,106 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBvMjk2cmFrM2htaTItQVVUT1ZJVFJPIn0.XvXgOxSpvMEiHLsAIqZ463pNPCtwSoXMSOdQY8J8s7s/image;s=320x240,10 489,1de19b22-90ab-499c-b66f-4e2332a6c129
257 000 km,Volkswagen,Golf,2008,Diesel,105 CP,1 896 cm3,Fata,,Manuala,Combi,5,Albastru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImViN2M1NGxuMTlxdC1BVVRPVklUUk8ifQ.NJSWKKfiicAtmRNGN5Z64A7npt6AXW_uvdEE3_RBjok/image;s=644x461,4 250,6f3cb7a8-021a-4aac-92ae-fd890bef6360
226 000 km,Seat,Leon,2011,Benzina,125 CP,1 390 cm3,Fata,,Manuala,Compacta,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1rZGM1MHB0Z3Jwei1BVVRPVklUUk8ifQ.JGdgmQfMoRX5Ja4GP7zHFtTPWdXVyLYzaYyuuPGoxAw/image;s=644x461,5 250,a2c5de82-5460-41c6-8334-01922abd038a
180 000 km,Kia,Sportage,2016,Benzina,136 CP,1 591 cm3,Fata,Euro 6,Manuala,SUV,5,Alb,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InYzaWVycGZvbHNheTItQVVUT1ZJVFJPIn0.pyBskVDrKpMnbRBrmKvlEgi4AUtcUHtfQZXoX1eYqgU/image;s=644x461,12 400,32a5f0fa-e7e5-4fbf-9fca-a53d97e944a2
180 000 km,Audi,A5,2011,Benzina,179 CP,1 984 cm3,Fata,Euro 5,Automata,Sedan,2,Gri,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImU5YTMwY3NlNGIxejEtQVVUT1ZJVFJPIn0._KBY_5g8QKKvLFwRAiKKpjyHygDI6yM2dPHxfunKtlo/image;s=644x461,11 300,d04fa126-b6b7-423d-ba91-0c5909b15f1d
64 000 km,Jeep,Wrangler,2020,Benzina,270 CP,1 995 cm3,,,Automata,SUV,4,Negru,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijk0eXM3YnRlMG11aTMtQVVUT1ZJVFJPIn0.4eoeWi-RKEbt72h_RMY5Rk7pt2MZmcC3o56uEDfqd38/image;s=320x240,60 214,533cfc52-4dab-426a-af85-acefac3a5a6a
205 000 km,Audi,A4,2009,Benzina,160 CP,1 798 cm3,Fata,,Manuala,Sedan,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZ0cWV4ajQ1cmY3NS1BVVRPVklUUk8ifQ.6b0Rz-699bExPKnslBsvFjz_sPllM0gUcs_oba_a8Lo/image;s=644x461,7 300,47469167-48e4-4707-bb68-8d890f602821
170 000 km,Suzuki,Grand Vitara,2011,Diesel,129 CP,1 870 cm3,4x4 (manual),Euro 5,Manuala,SUV,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtzczYycmU4YWE4bzEtQVVUT1ZJVFJPIn0.JMZXYsf-tjF7iVZBvZ3XIvNUGJqozNiUbYfY7hGwb0E/image;s=644x461,8 300,27a9f440-fead-4bef-8068-ce0f1f263d81
207 000 km,Volkswagen,Touran,2014,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Monovolum,5,Argint,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndmYmtwYzE2MDN2dTEtQVVUT1ZJVFJPIn0.rm33FF_hwICLlQQ6FpwzTlsxQixSeafkjsU_IFUEcbo/image;s=644x461,9 800,a7c05b22-56ea-4e4b-adb0-5909034d5da9
105 000 km,Opel,Mokka,2019,Benzina,140 CP,1 364 cm3,Fata,Euro 6,Manuala,SUV,5,Albastru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh2Nm52MzE0bmY0bTEtQVVUT1ZJVFJPIn0.u_vZgNEVvs6_TTfjUtHYW8erz-eOB-KIn6oChMEq0oA/image;s=644x461,14 500,9e242237-7e44-4204-947d-920d466fd869
193 000 km,Skoda,Fabia,2012,Diesel,90 CP,1 598 cm3,Fata,Euro 5,Manuala,Masina de oras,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inh1MW9iOXpkZWg4eTItQVVUT1ZJVFJPIn0.HNgrIBXDZUm7N1tJJvUW1I64ugKTMvEKp54FU0IYets/image;s=644x461,5 250,e2b68313-773e-4815-ba08-0b7d62e82004
191 000 km,Audi,A4,2013,Benzina,160 CP,1 798 cm3,Fata,Euro 5,Manuala,Sedan,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR3dDVsbzk3cmhodzItQVVUT1ZJVFJPIn0.jaz5CFwKS7jddzcURdrgzpIftihFT5A85B-kZaycIu8/image;s=644x461,10 000,f994aa19-7257-4a96-bbea-9c270495dfd9
199 000 km,Volkswagen,Touareg,2019,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6c,Automata,SUV,5,Gri,,Metalizata,Da,,,Second hand,139 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InA4MzFldWwzZ3MxcDEtQVVUT1ZJVFJPIn0.8OgfdqiqRpgLboHxXl6sGg-w52PuBPmz1dAGo8Hebb0/image;s=320x240,39 999,3087eaf0-348a-4074-89c6-de609cb1d8e4
190 000 km,Volkswagen,Transporter,2013,Diesel,102 CP,1 968 cm3,Fata,Euro 5,Manuala,Monovolum,3,Alb,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJ3ZzcyaTB5aDVxdi1BVVRPVklUUk8ifQ.xt3DYQFp-LcrkQFuaNStlG13F_aYychlk03jJqNd5U4/image;s=644x461,9 500,c3732a46-0735-4931-b8f9-cbbe8773845c
193 000 km,Volvo,XC 90,2018,Diesel,235 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Alb,7,Perlat,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFudDIzcHZwd2hmNDEtQVVUT1ZJVFJPIn0.cZEVL9O_CiE-eCaFsGZTKm5PeEHum3K5mNt2OE6KZSA/image;s=320x240,34 999,88c7e33b-d577-40ba-b793-a4b11a62bede
120 000 km,Opel,Astra,2013,Benzina,180 CP,1 598 cm3,Fata,Euro 5,Manuala,Masina de oras,3,Galben/Auriu,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjgwMDNhcHQzanFzcTItQVVUT1ZJVFJPIn0.tG6vj8mCk1KkAFhbI_kfNSMH53ZfOtHHO4cDemVVnG4/image;s=644x461,8 300,f6085c2c-b043-4357-ad6e-a10c2e5d7dfa
2 500 km,Skoda,Scala,2023,Benzina,110 CP,999 cm3,Fata,Euro 6,Manuala,Combi,5,Negru,5,Metalizata,Da,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImpxbXBhMTdwdGRwMDMtQVVUT1ZJVFJPIn0.9nqdFhbfyg6i92RAOuzgMYAcCSPNQ_wOzfWvfz_DghQ/image;s=320x240,15 990,59cd5302-2172-4033-a84d-f62758f64830
60 000 km,Toyota,RAV4,2020,Hibrid,178 CP,2 487 cm3,4x4 (manual),Euro 6,Automata,SUV,5,Albastru,5,Metalizata,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhjbjRhZjRqbGduNzEtQVVUT1ZJVFJPIn0.qn9HFWQh71uOlkAYk443bDW1ZxGN6lygy_4NvOJtXGo/image;s=320x240,33 899,2f68c6cd-79ea-4ded-942f-d330a2364364
253 000 km,Volkswagen,Passat,2018,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Manuala,Combi,5,Gri,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml6bjg1bXUzemRyMy1BVVRPVklUUk8ifQ.NeZnlC8BzcKVgMGlwCbyyqNurgTtP3ceoJE6SSaJtVg/image;s=644x461,13 300,9ad06f4e-0ec6-4dbe-842b-ff1b292e00d3
216 000 km,Mercedes-Benz,B,2014,Diesel,136 CP,1 796 cm3,Fata,Euro 5,Manuala,Monovolum,5,Alb,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InplZmJxc3ZtMHljOTEtQVVUT1ZJVFJPIn0.pAt-WnRMrApmy0PhUpntplUY_NqvyEcQ3rsSy_qYHI0/image;s=644x461,9 300,1ce2186b-c61b-49ea-aef0-0dd407f57b7c
171 320 km,Renault,Kadjar,2016,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,5,Rosu,5,,Da,Franta,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBkdHplZTF6amx1OTItQVVUT1ZJVFJPIn0.-SY_617Azb_IXQcVYWLB4BNezyLwhxg3gPK72j6z7B8/image;s=320x240,14 399,e26521ad-393c-4efe-b6ee-c2c0714526aa
168 000 km,Skoda,Superb,2018,Diesel,150 CP,1 968 cm3,Fata,,Automata,Sedan,5,Negru,5,,Da,,,Second hand,100 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZ4Y3JtbnpuNzJsODItQVVUT1ZJVFJPIn0.TCy1RzqyVwZ5otPln_RUP1sPjk0Kx2wRMIyybrSaTDQ/image;s=320x240,16 700,e361491b-2cda-469c-9ce7-fee1cfe6c69a
179 000 km,Hyundai,H-1,2010,Diesel,170 CP,2 497 cm3,Spate,Euro 5,Manuala,Monovolum,5,Gri,8,,Da,,,Second hand,225 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpkZzRrNXMzcHAwYzEtQVVUT1ZJVFJPIn0.-YPJxlWF5EdES1Zr6rouC6OmV3rEaPh1RXEEGojYuTI/image;s=320x240,10 900,f9b3e168-f66f-4c56-b61d-4cfae9f20252
193 100 km,Skoda,Fabia,2020,Benzina,95 CP,999 cm3,Fata,Euro 6,Manuala,Masina de oras,5,Alb,5,Mat,,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlhMWZ3em83Z254cDEtQVVUT1ZJVFJPIn0.2CjuS6stAtLhYjWNz2NFHxyT9SvcY3dSrEltX8RRVRg/image;s=644x461,9 990,b82c6873-58e2-4a63-91b7-635bdb15cf8a
186 700 km,Seat,Ibiza,2016,Benzina,90 CP,1 197 cm3,Fata,Euro 6,Manuala,Masina de oras,5,Rosu,5,Mat,,Franta,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjUxYnJvanhwamU3eTEtQVVUT1ZJVFJPIn0.SmCcRbtlZx5m1GVI9Bm7n426deGhUD9srW8CtXd-zSA/image;s=644x461,7 690,68113e5c-671c-4de1-becd-7cae8e72384c
107 848 km,Mercedes-Benz,GLB,2020,Diesel,190 CP,1 950 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im16eG41cXJ1eTJ3ZzMtQVVUT1ZJVFJPIn0.apLYxs9x8PqP_2Yjy0COYUCq64GvUN8TsEInwUsH6ys/image;s=644x461,42 828,4fc8a661-2551-4030-9fbf-51b95ab45e48
163 400 km,Peugeot,308,2018,Diesel,99 CP,1 560 cm3,Fata,Euro 6,Manuala,Combi,5,Alb,5,,,Italia,,Second hand,94 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjAyMmJvcXZqc3U1dzEtQVVUT1ZJVFJPIn0.924IwIea_EQ1BwsUcOcnPwvngvGyayNnCAqw1eoWqSg/image;s=644x461,9 988,f301b6d9-18b5-4542-a9f3-588512fb0fc5
135 000 km,Mazda,CX-5,2017,Diesel,175 CP,2 191 cm3,4x4 (automat),Euro 6d,Automata,SUV,5,Gri,5,Metalizata,Da,Italia,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVjd2Z0MWZrbWFlZDItQVVUT1ZJVFJPIn0.83q-vRj4OOrV7DXj-K5bfLw6nL_bDYh3AVkN0neTnZk/image;s=644x461,19 990,4d8f6f37-ba85-41d6-a1e1-99f16470a93c
156 600 km,Renault,Grand Scenic,2012,Diesel,110 CP,1 461 cm3,Fata,Euro 5,Manuala,Monovolum,5,Albastru,,Metalizata,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjQwa3I3a2FuNW5ndTItQVVUT1ZJVFJPIn0.9Ae7O-z2HUvdMD6RLgEPM08azK7eTgNpZn1Yh9pYCvE/image;s=644x461,7 590,5ad43888-2093-451c-9676-82eb5109f9ab
25 000 km,BMW,X6,2022,Hibrid,286 CP,2 993 cm3,4x4 (automat),,Automata,SUV,5,Gri,5,Metalizata,,,Da,Second hand,149 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFoZ24zeWVsNHhway1BVVRPVklUUk8ifQ.cCAtBH_WAEGCVzref0GdqsEX9IT6CzJpf5YtClKHrVQ/image;s=644x461,86 999,541d2cd1-749c-4416-978a-0f54f0a782da
159 000 km,Opel,Vivaro,2015,Diesel,116 CP,1 598 cm3,Fata,Euro 5,Manuala,Combi,4,Alb,3,,Da,,,Second hand,170 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR5cjQ5NGVsOXBxNzEtQVVUT1ZJVFJPIn0.pTnnveeq27OwBMfJb6xOhmpCJfiI7Jmq_-1QOjSCYoQ/image;s=320x240,11 600,6ea52444-7ff8-4195-9645-faf5e7297e87
50 194 km,Mercedes-Benz,S,2021,Diesel,286 CP,2 925 cm3,4x4 (automat),,Automata,Sedan,4,Albastru,5,,Da,,,Second hand,166 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhheGQwdjk4c3puMTMtQVVUT1ZJVFJPIn0.d8pp3R7oBpZuz6dxqKAvOV8BE1oKRleYI07zl8syaik/image;s=644x461,98 758,577d60b6-f36b-4398-a594-0956fab3b763
133 800 km,Volkswagen,Polo,2019,Benzina,65 CP,999 cm3,Fata,Euro 6,Manuala,Masina de oras,5,Alb,5,Mat,,Romania,Da,Second hand,108 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhuaGNvaGxrZ2J6YTEtQVVUT1ZJVFJPIn0.mfMO-WD_5Cf7vlKgmhXtbdub5GBXsYrCxDt0jd9ZfjY/image;s=644x461,8 989,5acc82b9-9bf4-40b9-a13a-9837423ba66c
170 000 km,BMW,Seria 3,2013,Benzina,170 CP,1 995 cm3,,,Automata,Combi,5,Gri,5,Perlat,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImwxdnNrNmQ5bTZodC1BVVRPVklUUk8ifQ.C7QKt2wT2nD9Baj8EvCJW_TjD27o7Ys6k9tHv6KAz2M/image;s=320x240,13 700,a2c6f821-dcd7-4c82-b315-1fefb1e58529
76 091 km,DS Automobiles,DS 7 Crossback,2020,Diesel,179 CP,1 997 cm3,Fata,Euro 6,Automata,SUV,5,Alb,5,Metalizata,Da,Franta,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZkNGlnZHY3Nmt6YTEtQVVUT1ZJVFJPIn0.46BZtZTAAWV3q2txq1bHspLe6xfx8vpc1vl9NSdHnR4/image;s=644x461,30 928,9741df7b-6582-4577-8c4c-b6ebe960d623
125 500 km,Audi,Q7,2020,Hibrid,340 CP,2 995 cm3,4x4 (automat),Euro 6b,Automata,SUV,5,Argint,5,Metalizata,,Germania,Da,Second hand,59 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtpdGgzbW1jams5YjMtQVVUT1ZJVFJPIn0.wUzDFmwoM_Dx2EFlmvrfEC32XJhBN9YTZTiwHrurMTY/image;s=320x240,61 989,bfdc7bbe-8f99-4c61-8de0-939b246ccb3e
178 000 km,Volvo,S60,2018,Diesel,150 CP,1 969 cm3,Fata,Euro 6,Automata,Sedan,4,Gri,5,Metalizata,,,Da,Second hand,113 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inl3c24yam5hYjRsdy1BVVRPVklUUk8ifQ.xMVAsqc3l2rwBTi2NQ7CUg1xjyRJ2DeJte_CDtaDvqs/image;s=644x461,15 490,157c0a87-01c4-41c5-a8a1-83da6b626741
215 800 km,Mazda,CX-3,2016,Diesel,105 CP,1 499 cm3,Fata,Euro 6,Manuala,SUV,5,Albastru,5,Metalizata,Da,,Da,Second hand,105 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijk1a3ppaWN0bjE0cDEtQVVUT1ZJVFJPIn0.z0HrogijTeleR4WalVhb3q__J4XOnb205RdDtX57LYo/image;s=320x240,10 990,34d2fabc-c839-4ae9-90d8-eeba52539bfe
42 km,Lamborghini,Huracan,2023,Benzina,640 CP,5 204 cm3,4x4 (automat),Euro 6d,Automata,Coupe,2,Alb,2,Metalizata,,Germania,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9iM2FpaXdna3A3NDItQVVUT1ZJVFJPIn0.0-buz_cDcYUOiK_5lylEth8wJ5pSE9SIwsG1GJUy3cI/image;s=320x240,369 900,da0593c5-7334-47e1-ac24-86249a5109db
145 236 km,Mini,Cooper S,2007,Benzina,172 CP,1 598 cm3,,,Automata,Masina mica,2,Negru,,,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlwM3U5M3pobXdkZzItQVVUT1ZJVFJPIn0.cUhEgRt27GZqwZlDXHkpwfiT7UpdUak7AuqnpH9lmLE/image;s=320x240,6 500,bb736ce0-8c77-4811-99fa-b26873b08922
230 000 km,Ford,Focus,2015,Diesel,120 CP,1 498 cm3,,,Manuala,Combi,5,Gri,5,Perlat,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InB3Z2dqOWNoa2F5NTItQVVUT1ZJVFJPIn0.6xKFKoc0ixLOh7dNYJZokkNB9hq17f4QMY_Rs4zXSms/image;s=320x240,5 500,65ff689a-307e-486d-9819-48755c4d15fb
176 000 km,BMW,Seria 3,2019,Benzina,184 CP,1 998 cm3,,Euro 6,Automata,Sedan,5,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZ3bDZ1aXZuMHl3azEtQVVUT1ZJVFJPIn0.XG0iDPVu3sGGKz8SNfhixxf6EKo6ifc36lzVug2bpC0/image;s=644x461,20 944,57d00a8f-45ea-4caf-932c-080e3377f633
163 000 km,Volkswagen,Golf Plus,2008,Benzina,80 CP,1 390 cm3,Fata,Euro 4,Manuala,Masina de oras,5,Gri,5,Metalizata,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijdwc3Zvb3Z4enFneDItQVVUT1ZJVFJPIn0.nG0pWlYrvaYfa0hB_wgSAIgwV9bYom1Tpp4kAChu9Pg/image;s=644x461,4 799,f2d122c2-a128-4a06-aef6-739826aec8d0
