km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
176 910 km,Audi,A4,2011,Diesel,143 CP,1 968 cm3,Spate,,Automata,Sedan,4,Negru,5,,Da,,,Second hand,149 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjljbjR1a2txdXdsaC1BVVRPVklUUk8ifQ.jpiFS60xLWWagmz4yZ5yEEWvFNR3c8WpPAaqnXTXz3c/image;s=320x240,9 950,b7a049dc-e6af-4858-91e4-132a0a020dec
64 516 km,Mercedes-Benz,GLA,2018,Benzina,122 CP,1 595 cm3,Fata,,Automata,SUV,5,Negru,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJnenB3a3ZoNWVpbTEtQVVUT1ZJVFJPIn0.gGHseHzJrNtweFaVsk9pfBFj7EIlFHzAX1R9No2CUFY/image;s=320x240,24 950,34f309a7-0e7c-44be-8aa7-fd46d5c2d8b6
250 000 km,Mazda,3,2008,Benzina,105 CP,1 598 cm3,Fata,Euro 4,Manuala,Compacta,4,Gri,5,,Da,Germania,,Second hand,162 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ims0NW81d2dybDRnaDEtQVVUT1ZJVFJPIn0.5OW0sIH4BWq33SqTB2maP9EZiYDdpVsxNzMMpddek4E/image;s=320x240,2 690,39c67ef4-fe23-42a0-8769-78622204fad3
161 055 km,BMW,Seria 3,2016,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,Sedan,4,Gri,5,Perlat,Da,,,Second hand,137 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imdmcm83aTFyNjN1NC1BVVRPVklUUk8ifQ.Ad_kJTWW7sve9IRdAHMOAQ9l58daOfoURy_HzsPxjh0/image;s=320x240,16 999,de655c43-ade9-4d5c-93da-66891ee008fd
8 km,Mercedes-Benz,A,2023,Benzina,163 CP,1 332 cm3,Fata,,Automata,Sedan,4,Alb,,,,,,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhrYnJjYTZobXAxMTMtQVVUT1ZJVFJPIn0.Clv0A1OUAEX3Sfe9RIVN8emz6Vzax7jBSf3uXHPwFps/image;s=644x461,38 720,e65a9e8b-2539-4479-9dfb-9a0a818872c9
160 000 km,Mazda,3,2012,Diesel,115 CP,1 560 cm3,Fata,Euro 5,Manuala,Masina de oras,5,Alb,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImdxaDU5Ym9mMmNwZzEtQVVUT1ZJVFJPIn0.o_fOSuvsoMXeJGs5c1ylYgZmE7UCu1vk_-nXoER0MbQ/image;s=644x461,6 000,70aaecd9-e702-4398-8ff4-b1015fb2d15d
,BMW,Seria 5,2023,Diesel,197 CP,1 995 cm3,4x4 (automat),,Automata,Sedan,4,Gri,,,Da,,,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxyaW4zNTV4bWxsdi1BVVRPVklUUk8ifQ.blCOZXlZ5cWLGubPFyTBn12Klr0_LazJqaI8RYLzdzw/image;s=644x461,82 065,cb63927f-bef8-4d13-acd2-cbb953a60157
96 708 km,Land Rover,Range Rover Vogue,2020,Diesel,323 CP,2 993 cm3,4x4 (automat),,Automata,SUV,5,Negru,,,Da,,,Second hand,243 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imd3eTVkd3ZoODZkaDItQVVUT1ZJVFJPIn0.hSdLyPdKo3oLbL9FTYv24Mz9n_ZVMWsWrvrCpp9SarY/image;s=644x461,65 990,f2d3406b-cf69-438b-bbc5-49e9c54df600
202 000 km,BMW,Seria 6,2016,Diesel,313 CP,2 993 cm3,4x4 (automat),Euro 5,Automata,Sedan,4,Albastru,5,Metalizata,Da,Belgia,Da,Second hand,153 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhmMjBnYW14dWFqYjMtQVVUT1ZJVFJPIn0.Ix1kz3L506P_IqvMQktEOoN3ucJaTJXns3U8QTNJ4qg/image;s=320x240,24 990,c9932022-73f9-4407-ab52-46ea9e9cc305
37 500 km,Mercedes-Benz,S,2021,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6d,Automata,Sedan,4,Negru,5,Metalizata,Da,Germania,,Second hand,171 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRqNnF3YndtZm9sMy1BVVRPVklUUk8ifQ.WHvqd9ytq5wV7-NTdfFfyEFXC4IsIVhwxZqbPX32Bm0/image;s=644x461,147 143,f6c49be7-07d5-43e9-bec1-4a7a6acf4227
230 000 km,Seat,Ateca,2017,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Manuala,SUV,5,Alb,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM1Y3YzcTA2NWRtdTMtQVVUT1ZJVFJPIn0.-9irCDn1O1VWOtkRNl-1im-slh1F2KUsbMG9e3IDBk0/image;s=320x240,14 900,c63c8e2c-fde9-4cb1-96a2-1771db96a700
179 147 km,BMW,Seria 5,2017,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Sedan,5,Alb,5,Metalizata,Da,,Da,Second hand,139 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRrZDEycmtqZG91dC1BVVRPVklUUk8ifQ.F-_S6BJYXtiM4euYwcPCNiYd4YX1-RKupqRfsid_luk/image;s=320x240,28 500,e2db2ff5-7c05-4467-ba24-6bec0acc85c8
250 187 km,Volkswagen,Tiguan,2012,Diesel,140 CP,1 968 cm3,4x4 (automat),Euro 5,Automata,SUV,5,Negru,5,,,Germania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml2dmlmdHZjc2E3YS1BVVRPVklUUk8ifQ.41VAkWrPQgmE3fMN4-lvBc4cNac52EUAd7mhZVm0Gfw/image;s=644x461,11 499,d45227a2-9749-483c-8998-3183cb135e03
257 600 km,Peugeot,3008,2017,Diesel,180 CP,1 997 cm3,Fata,Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,Franta,Da,Second hand,125 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJlc2l6ajlxa2g4cDMtQVVUT1ZJVFJPIn0.nBsy6wbFozlT92U6yrFsGJ36fDuKmuWZTYVk91liFyo/image;s=644x461,16 495,f5022e97-4c8c-482e-875e-8f8497c5123f
177 450 km,Audi,A3,2020,Benzina,149 CP,1 498 cm3,Fata,Euro 6,Automata,Compacta,4,Negru,5,Metalizata,Da,Germania,Da,Second hand,80 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjI2bGQ5cTN4cmNwMTItQVVUT1ZJVFJPIn0.KlartShPXAehluurTH2NSCc7RpVzL9CYTrV4bZkjfBk/image;s=644x461,16 997,15a3db3a-0f07-4c08-ad8e-5c1dec1e83c4
16 500 km,Mercedes-Benz,E,2021,Hibrid,265 CP,1 993 cm3,4x4 (automat),Euro 6d,Automata,Cabrio,2,Alb,,Mat,Da,,,Second hand,148 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImoxMGd5MmF4dnNnNTItQVVUT1ZJVFJPIn0.ex1l0boksZhCo1M9SFw97u4WAvu8IThflsi298zse0I/image;s=644x461,57 465,87672ce8-ecea-413d-92c0-b36f39f91b00
160 000 km,Volvo,XC 90,2018,Diesel,190 CP,1 969 cm3,Fata,Euro 6,Automata,SUV,5,Albastru,5,Metalizata,Da,Germania,Da,Second hand,136 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9ocGp3eGEyaGVwZDEtQVVUT1ZJVFJPIn0.3Grl31HZSMOlVVlcTYZRuK_Onp5-XKSaPtd4F3A2hBw/image;s=320x240,33 070,3e98effe-1858-4e88-a5eb-5f6898a2af79
32 000 km,Jeep,Grand Cherokee,2018,Benzina,468 CP,6 417 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imd3dmx0Z3AzYzAyNjEtQVVUT1ZJVFJPIn0.-Kf1aorVCcJCeYhqZiwB_qqPJK8lQkUXQePbtmP35NY/image;s=644x461,57 120,1d8366ed-0a2a-4ec5-8b62-54202f3b6467
